model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n^2),fallback,1509,20,1529,0.37872071799938567,1330,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,483465766745983b05735b313618fbbc7c0687e6,"The time complexity of the code is O(n^2)

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1833,26,1859,0.5426747000001342,1609,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e353da70465d9c5940ff8ba392def51575130d8b,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,2004,18,2022,0.5096113580002566,2370,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3761e48b139f29dc7258157241e2eabe4312ffc8,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is exponential.,fallback,1644,16,1660,0.3660175370005163,2116,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,2fb3938239df3034c118ec9740c25699e9afab5d,"The time complexity of the code is exponential.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1852,18,1870,0.4595761719992879,2717,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,27644feb6e8383c53624e71b95774b9dd28a404a,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1884,26,1910,0.5625094049992185,2177,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,cab13bf94f8944ce4c1be10b548974c87f2bcbe4,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1667,18,1685,0.40099148799890827,2454,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,312b88e6268adc34f69685dad9b5c8bffbe1eb5d,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,"i'm sorry, but i'm unable to determine the time co",fallback,2042,32,2074,0.6846867760013993,2393,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3af8c4210c852586559c5ee4ab71dd255f5d8c01,"I'm sorry, but I'm unable to determine the time complexity of the code you provided.

Can you please provide more information about the problem"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1865,18,1883,0.461917711998467,3059,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4d9f678ae848a4a29337bc08597486ab69e47010,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1895,20,1915,0.490149567998742,2789,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,267485a3841b0c7e0185252a40c351263bc6454a,"{
 ""complexity"": ""quadratic""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1946,21,1967,0.5336076859985042,2955,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,95a5690fdfd8f0017f3135086e04b5b4c8c246b1,"
```json
{
    ""complexity"": ""quadratic""
}
```
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1678,18,1696,0.4027025270006561,2269,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a0a31a7a236028f1eeb3286713bac6c9538b19b5,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1629,20,1649,0.42603855800007295,2282,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ac2a1e272c5b22968bc77fb8f3e2cd4a4c999dd8,"
```json
{
 ""complexity"": ""quadratic""
}
```
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,2060,26,2086,0.616943891000119,2348,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,85b036d2521f09fb9da4a84b7ed2c1cb2ba3e571,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1909,26,1935,0.5677509659999487,2234,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,209e49227ade23d088d1b2772cbaaa939cf1bb55,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,2340,23,2363,0.668179305999729,2871,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7ddda975764b8f3d7a35a548d91dce3f83f5b1ce,"I have voted for the time complexity of the code to be nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1767,18,1785,0.42713479700069,1965,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0a37528c056d54c64f715ae6a7d6799cc6f0e7cb,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1962,18,1980,0.48470741900018766,2099,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,6427a8250a34c79797612c7b72635158524dd1b3,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,2601,26,2627,0.7986061819992756,3642,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,49904223fe124d3e1a8b88ec2261beb715974a27,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n log n),fallback,1437,20,1457,0.35433421000016097,1343,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7f61b17fc5b28528f6b6d61cf8c9df23e3672d15,"The time complexity of the code is O(n log n)

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1441,18,1459,0.33084294800028147,1323,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a4e3978b3f32a6a3a5330414f9e0188175a211a0,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is exponential.,fallback,1451,16,1467,0.3085757280005055,1454,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,c250c2fd3ca81f7785d5e3a091c466f06c466510,"The time complexity of the code is exponential.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,2200,20,2220,0.5887294200001634,2633,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,6d8a857caa1abd85e4c4b528d7da59d7a21bc358,"{
 ""complexity"": ""quadratic""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,3070,23,3093,0.9272604249999858,3455,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ce515ec5606e35d5f4ce8c89dcc32be5637d3bbe,"I have voted for the time complexity of the code to be nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is exponential.,fallback,1893,16,1909,0.4414001360000839,2317,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4465d97f8f1f54b3c4f2b0b5b34fffbc64569318,"The time complexity of the code is exponential.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,,error,0,0,0,0.0,17368,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,77b2dc5d2424bfd3809b8e05f603b88392df7c67,ERROR: ValueError('Requested tokens (6861) exceed context window of 4096')
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1593,21,1614,0.41829431599944655,1964,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,2cb7e5e9bd284a2a74ead89c8607a4a6b026d418,"
{
 ""complexity"": ""quadratic""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1918,20,1938,0.5042680419992394,1707,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7bf96317b902bc04e124e830dd87b7cc7533a4eb,"{
 ""complexity"": ""quadratic""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is exponential.,fallback,1500,16,1516,0.33049692600070557,1298,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ae93d1fbeedba236cd153887895946c310109f41,"The time complexity of the code is exponential.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1569,20,1589,0.3924684020003042,1623,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,cea4891bd10e5e339c4b4c018b1e261e2bb7e9eb,"The time complexity of the code is O(nlogn).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1833,26,1859,0.543428615999801,2665,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7b67343eb53c754fe52849375af33f91a1947023,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1745,18,1763,0.4226205079994543,1416,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,70d8abef68039c93c39a9707ee73ca498755f0c3,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(1).,fallback,1605,18,1623,0.38427656299973023,1722,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fc704631111fa4e19ce14abb702de6ca2130f340,"The time complexity of the code is O(1).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1887,26,1913,0.5618668810002418,1777,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,50a4cba9362ded8ca61e1a7a5ddd3554a0c34861,"
```json
{
 ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1793,18,1811,0.43372060599904216,1619,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,6052f7811a381f1bcd0a326e059d85fd48f474b5,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n),fallback,3685,18,3703,1.09167977099969,7800,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7bdceb48e2e4c375ef2ff7840abce0803869542f,"The time complexity of the code is O(n)

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1051,16,1067,0.2009941689993866,240,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,b5ee50c4409d05f3f7decce7d4b270596523575e,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n).,fallback,1213,18,1231,0.26639237599920307,727,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,5d2a8e97169ccfee3ae4a79b127a5005a585c695,"The time complexity of the code is O(n).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1057,16,1073,0.20093124900085968,305,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,39bb508e99c64fb2c2aa8d0027f916e45b09bf99,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1088,16,1104,0.21203749800042715,422,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,9001552a5cca48567f1d29741df05b57be0b4d5c,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,constant,substring,1011,16,1027,0.19200691999867558,138,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,b6c0314737e6800dfe4fafc2c0214281096862a6,"The time complexity of the code is constant.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n).,fallback,1058,18,1076,0.2237756390004506,245,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,cfbdde7670d4230c3437ee6c2e2610c200a6d919,"The time complexity of the code is O(n).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1464,16,1480,0.3268642090006324,1733,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,8c85360f5822712f5c25232cda4661468a9f49c2,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1499,18,1517,0.35479763400144293,1644,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fec7fe030bfd6a69fc879d6ee08795efc825e535,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1060,19,1079,0.23215444599918555,272,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,24244869dc2a81b93d600ede0b0c4971943f6e74,"The time complexity of the code is O(logn).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1022,16,1038,0.19472434199997224,192,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,d6c87ea349adcfb11e19b0f654e2fa392cb84a51,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n),fallback,1478,32,1510,0.5230351329992118,1386,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,5025998b1df5447725742c0fa31f7c81a1966427,"The time complexity of the code is O(n)

<|assistant|>
The time complexity of the code is O(n^2"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1088,16,1104,0.21204317699994135,393,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,163525d49fd53d5c634cd8a7a258cae3d777b5c5,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1033,16,1049,0.19660898399888538,186,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,8de93dbf96f7dce9b445a19cbfd7059b4e5e639b,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1033,16,1049,0.19650601300054404,195,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fbb9351a2ac2fb6ba5201db94ba9732092f57a66,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n).,fallback,1491,18,1509,0.35266459100057546,1591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,1b62c384f5e68a6c0bda477389b8dc1da5752f7c,"The time complexity of the code is O(n).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1039,16,1055,0.19715413399899262,206,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,28b5cb1ae3d5814c7b8eb02f2e9d717ff6d1468d,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1110,16,1126,0.21528398000009474,444,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,426d5b3641495fdd36a8e089e60fbbd2480184ae,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n).,fallback,1029,18,1047,0.2174702909996995,200,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e738904be5f207545ae0ec89253f53e64c9e816b,"The time complexity of the code is O(n).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,json,1719,19,1738,0.42538092399991,2517,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,b717c1ab33152215ba2e006b6d21ff68c0655a75,"
{
 ""complexity"": ""linear""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1043,16,1059,0.19875613499971223,254,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,2656af5397e1adcc27df2c771138236babac2cde,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1033,16,1049,0.197017752998363,189,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a02a3020a9d195e2feec7ccb9724848b0850aeff,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1136,16,1152,0.22033285299949057,448,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,03d7c921c670e28ebc1d8692eb3abbd883fb4fd3,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,substring,1284,16,1300,0.2609813290000602,1090,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3d5c5659cacf0a06d8a7dd9453c102161bc554b9,"The time complexity of the code is quadratic.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1087,17,1104,0.22384145700016234,409,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,b89f20c939dd446abaef5fa74782ab58ac5c4f11,"The time complexity of the code is logn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,substring,1021,16,1037,0.19237269899895182,187,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,f1f164cbbbdc24e7ef4ead99a9ab5d3653708a45,"The time complexity of the code is linear.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,linear,json,1604,19,1623,0.396729467998739,2057,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fe09cbed491ab9d2b52b47da03531aadee54cee1,"
{
 ""complexity"": ""linear""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,,error,0,0,0,0.0,15724,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,76f7f9992b48897110eda82de814a80100e7e238,ERROR: ValueError('Requested tokens (5562) exceed context window of 4096')
